image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0227,518,last,feature_local_contrast,6.0,translate,geometric,14,10,7,0.7,0.5,0.5833333333333334,0.011732471107789067
akd_0227,518,last,feature_local_contrast,6.0,contrast_125,photometric,14,11,11,1.0,0.7857142857142857,0.88,0.0
akd_0227,518,last,feature_local_contrast,7.0,flip_horizontal,geometric,6,8,6,0.75,1.0,0.8571428571428571,0.001548466349342305
akd_0227,518,last,feature_local_contrast,7.0,rotate_10,geometric,6,7,2,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.015742703978536263
akd_0227,518,last,feature_local_contrast,7.0,brightness_075,photometric,6,9,6,0.6666666666666666,1.0,0.8,0.0
akd_0227,518,last,feature_local_contrast,7.0,rotate_minus10,geometric,6,6,3,0.5,0.5,0.5,0.010878966357107434
akd_0227,518,last,feature_local_contrast,7.0,scale_090,geometric,6,7,5,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.007508440627131696
akd_0227,518,last,feature_local_contrast,7.0,scale_110,geometric,6,5,2,0.4,0.3333333333333333,0.3636363636363636,0.029004214908019316
akd_0227,518,last,feature_local_contrast,7.0,translate,geometric,6,8,4,0.5,0.6666666666666666,0.5714285714285715,0.011732471107789052
akd_0227,518,last,feature_local_contrast,7.0,contrast_125,photometric,6,7,5,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0
akd_0227,518,last,feature_local_contrast,8.0,flip_horizontal,geometric,4,4,3,0.75,0.75,0.75,0.001548466349342305
akd_0227,518,last,feature_local_contrast,8.0,rotate_10,geometric,4,3,1,0.3333333333333333,0.25,0.28571428571428575,0.009479185550614902
akd_0227,518,last,feature_local_contrast,8.0,brightness_075,photometric,4,4,3,0.75,0.75,0.75,0.0
akd_0227,518,last,feature_local_contrast,8.0,rotate_minus10,geometric,4,3,2,0.6666666666666666,0.5,0.5714285714285715,0.008209736677497009
akd_0227,518,last,feature_local_contrast,8.0,scale_090,geometric,4,5,2,0.4,0.5,0.4444444444444445,0.0063581573817966305
akd_0227,518,last,feature_local_contrast,8.0,scale_110,geometric,4,1,0,0.0,0.0,0.0,nan
akd_0227,518,last,feature_local_contrast,8.0,translate,geometric,4,6,4,0.6666666666666666,1.0,0.8,0.011732471107789052
akd_0227,518,last,feature_local_contrast,8.0,contrast_125,photometric,4,2,2,1.0,0.5,0.6666666666666666,0.0
akd_0227,518,last,feature_local_contrast,10.0,flip_horizontal,geometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,feature_local_contrast,10.0,rotate_10,geometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,feature_local_contrast,10.0,brightness_075,photometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,feature_local_contrast,10.0,rotate_minus10,geometric,0,1,0,0.0,0.0,0.0,nan
akd_0227,518,last,feature_local_contrast,10.0,scale_090,geometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,feature_local_contrast,10.0,scale_110,geometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,feature_local_contrast,10.0,translate,geometric,0,1,0,0.0,0.0,0.0,nan
akd_0227,518,last,feature_local_contrast,10.0,contrast_125,photometric,0,0,0,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.985,flip_horizontal,geometric,6,7,4,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.001548466349342305
akd_0227,518,last,cls_to_patch_attention,0.985,rotate_10,geometric,6,9,5,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.01832949839727586
akd_0227,518,last,cls_to_patch_attention,0.985,brightness_075,photometric,6,6,6,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.985,rotate_minus10,geometric,6,9,5,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.015117644683318622
akd_0227,518,last,cls_to_patch_attention,0.985,scale_090,geometric,6,6,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.04103348483810927
akd_0227,518,last,cls_to_patch_attention,0.985,scale_110,geometric,6,6,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.01687851041786977
akd_0227,518,last,cls_to_patch_attention,0.985,translate,geometric,6,7,4,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.021381637598102455
akd_0227,518,last,cls_to_patch_attention,0.985,contrast_125,photometric,6,6,6,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.99,flip_horizontal,geometric,4,3,3,1.0,0.75,0.8571428571428571,0.001548466349342305
akd_0227,518,last,cls_to_patch_attention,0.99,rotate_10,geometric,4,6,4,0.6666666666666666,1.0,0.8,0.02012234853557726
akd_0227,518,last,cls_to_patch_attention,0.99,brightness_075,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.99,rotate_minus10,geometric,4,5,3,0.6,0.75,0.6666666666666665,0.011234376024319514
akd_0227,518,last,cls_to_patch_attention,0.99,scale_090,geometric,4,4,3,0.75,0.75,0.75,0.04337156369268194
akd_0227,518,last,cls_to_patch_attention,0.99,scale_110,geometric,4,5,4,0.8,1.0,0.888888888888889,0.01687851041786977
akd_0227,518,last,cls_to_patch_attention,0.99,translate,geometric,4,6,4,0.6666666666666666,1.0,0.8,0.021381637598102455
akd_0227,518,last,cls_to_patch_attention,0.99,contrast_125,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.993,flip_horizontal,geometric,4,2,2,1.0,0.5,0.6666666666666666,0.001548466349342305
akd_0227,518,last,cls_to_patch_attention,0.993,rotate_10,geometric,4,4,1,0.25,0.25,0.25,0.021915198673878665
akd_0227,518,last,cls_to_patch_attention,0.993,brightness_075,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.993,rotate_minus10,geometric,4,4,3,0.75,0.75,0.75,0.011234376024319514
akd_0227,518,last,cls_to_patch_attention,0.993,scale_090,geometric,4,2,2,1.0,0.5,0.6666666666666666,0.02062929051072973
akd_0227,518,last,cls_to_patch_attention,0.993,scale_110,geometric,4,4,4,1.0,1.0,1.0,0.01687851041786977
akd_0227,518,last,cls_to_patch_attention,0.993,translate,geometric,4,4,3,0.75,0.75,0.75,0.021161842171904335
akd_0227,518,last,cls_to_patch_attention,0.993,contrast_125,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0227,518,last,cls_to_patch_attention,0.996,flip_horizontal,geometric,3,2,2,1.0,0.6666666666666666,0.8,0.001548466349342305
akd_0227,518,last,cls_to_patch_attention,0.996,rotate_10,geometric,3,3,3,1.0,1.0,1.0,0.01832949839727586
