image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0186,728,last,feature_hdbscan_medoid,0.0,translate,geometric,5,5,2,0.4,0.4,0.4000000000000001,0.024832879659182645
akd_0186,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,5,4,4,1.0,0.8,0.888888888888889,0.0
akd_0031,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,8,8,3,0.375,0.375,0.375,0.04073304527705893
akd_0031,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,8,8,0,0.0,0.0,0.0,nan
akd_0031,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,8,8,3,0.375,0.375,0.375,0.0
akd_0031,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,8,11,4,0.36363636363636365,0.5,0.4210526315789474,0.0338096990217694
akd_0031,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,8,7,1,0.14285714285714285,0.125,0.13333333333333333,0.04340859530951904
akd_0031,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,8,10,3,0.3,0.375,0.33333333333333326,0.04160444750617758
akd_0031,728,last,feature_hdbscan_medoid,0.0,translate,geometric,8,7,2,0.2857142857142857,0.25,0.26666666666666666,0.046468595380873744
akd_0031,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,8,10,4,0.4,0.5,0.4444444444444445,0.010176773098587395
akd_0178,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,6,5,3,0.6,0.5,0.5454545454545454,0.02102682446808577
akd_0178,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,6,4,2,0.5,0.3333333333333333,0.4,0.030772702375700536
akd_0178,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,6,6,3,0.5,0.5,0.5,0.0
akd_0178,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,6,7,3,0.42857142857142855,0.5,0.4615384615384615,0.023897405266717315
akd_0178,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,6,9,1,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.047854020790640175
akd_0178,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,6,7,0,0.0,0.0,0.0,nan
akd_0178,728,last,feature_hdbscan_medoid,0.0,translate,geometric,6,4,2,0.5,0.3333333333333333,0.4,0.025913003678680897
akd_0178,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
akd_0067,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,3,7,1,0.14285714285714285,0.3333333333333333,0.2,0.02551711120259894
akd_0067,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02558889303906281
akd_0067,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.018698773014369032
akd_0067,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,3,4,1,0.25,0.3333333333333333,0.28571428571428575,0.04063927405422398
akd_0067,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,3,4,2,0.5,0.6666666666666666,0.5714285714285715,0.035364775816354804
akd_0067,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,3,2,1,0.5,0.3333333333333333,0.4,0.023156822415397484
akd_0067,728,last,feature_hdbscan_medoid,0.0,translate,geometric,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.007627632678440821
akd_0067,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.009349386507184516
akd_0245,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,4,4,1,0.25,0.25,0.25,0.04908453132457891
akd_0245,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,4,6,0,0.0,0.0,0.0,nan
akd_0245,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,4,5,3,0.6,0.75,0.6666666666666665,0.0
akd_0245,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,4,7,1,0.14285714285714285,0.25,0.18181818181818182,0.03540132578197716
akd_0245,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,4,4,1,0.25,0.25,0.25,0.01958999065168567
akd_0245,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,4,2,0,0.0,0.0,0.0,nan
akd_0245,728,last,feature_hdbscan_medoid,0.0,translate,geometric,4,8,2,0.25,0.5,0.3333333333333333,0.023359912190508234
akd_0245,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,4,4,3,0.75,0.75,0.75,0.0
akd_0117,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,5,4,0,0.0,0.0,0.0,nan
akd_0117,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,5,7,1,0.14285714285714285,0.2,0.16666666666666666,0.015368319693069234
akd_0117,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,5,5,3,0.6,0.6,0.6,0.0
akd_0117,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,5,6,0,0.0,0.0,0.0,nan
akd_0117,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,5,3,0,0.0,0.0,0.0,nan
akd_0117,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.02348254796531826
akd_0117,728,last,feature_hdbscan_medoid,0.0,translate,geometric,5,2,0,0.0,0.0,0.0,nan
akd_0117,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,5,8,2,0.25,0.4,0.3076923076923077,0.0
akd_0216,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.001100594294270134
akd_0216,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,7,5,1,0.2,0.14285714285714285,0.16666666666666666,0.04587230980341908
akd_0216,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,7,5,4,0.8,0.5714285714285714,0.6666666666666666,0.0
