image_id,source_name,structural_complexity_proxy,size,layer_mode,method,tau,candidate_count,safety_cap_hit,plant_hit_ratio,collapse_background_or_single,mean_repeatability_f1,median_localization_error_bbox_diag,median_photometric_count_difference
akd_0291,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151416-724-13322723265019.jpg,medium,518,last4avg,feature_local_contrast,6.0,23,0,0.43478260869565216,0,0.8228543128046198,0.00916199541143727,2.0
akd_0291,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151416-724-13322723265019.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,2,0,0.5,0,0.9125,0.013474634912624517,0.0
akd_0088,5.jpg,low,518,last4avg,feature_local_contrast,6.0,30,1,0.5333333333333333,0,0.7286016949152543,0.01215184600134224,1.0
akd_0088,5.jpg,low,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.589781746031746,0.021677944869279517,0.5
akd_0098,54.jpg,high,518,last4avg,feature_local_contrast,6.0,16,0,0.3125,0,0.6623230871295887,0.010829514389032978,2.0
akd_0098,54.jpg,high,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.7648809523809523,0.011092603408376046,0.0
akd_0278,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151255-642-13321912442578.jpg,high,518,last4avg,feature_local_contrast,6.0,16,0,0.3125,0,0.7695303235039079,0.007649543109046584,1.5
akd_0278,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-151255-642-13321912442578.jpg,high,518,last4avg,cls_to_patch_attention,0.996,4,0,1.0,0,0.7718253968253969,0.008830415032515023,1.0
akd_0094,52.jpg,high,518,last4avg,feature_local_contrast,6.0,18,0,0.3888888888888889,0,0.7994205030969737,0.010220965258694172,1.0
akd_0094,52.jpg,high,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.6369047619047619,0.028902829434816323,1.0
akd_0125,75-75.jpg,high,518,last4avg,feature_local_contrast,6.0,30,1,0.43333333333333335,0,0.7096751412429378,0.01339358036709384,0.0
akd_0125,75-75.jpg,high,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.7595238095238096,0.008536970232334623,0.0
akd_0119,7.jpg,low,518,last4avg,feature_local_contrast,6.0,30,1,0.3333333333333333,0,0.6666666666666667,0.018079952516494614,0.0
akd_0119,7.jpg,low,518,last4avg,cls_to_patch_attention,0.996,5,0,0.6,0,0.7173611111111111,0.02730493976599233,0.5
akd_0112,64-64.jpg,medium,518,last4avg,feature_local_contrast,6.0,30,1,0.36666666666666664,0,0.6142241379310345,0.018041123149616714,0.0
akd_0112,64-64.jpg,medium,518,last4avg,cls_to_patch_attention,0.996,3,0,1.0,0,0.8273809523809523,0.01598927095130854,0.0
